index,tile,positionY,positionX,camera,animal,size,shape,imHeight
1,arctic,1,R,"11, 90, 109",polar bear,2,R2,1174
1,arctic,2,L,37,beluga whale,2,R2,1174
2,arctic2,1,R,40,puffin,2,R2,1174
2,arctic2,2,L,45,harbor seal,2,R2,1174
3,northAmerica,1,R,"140, 141",grizzly bear,5,R5,2674
3,northAmerica,2,L,19,black-footed ferret,5,R5,2674
3,northAmerica,3,R,72,river otter,5,R5,2674
3,northAmerica,4,L,16,burrowing owl,5,R5,2674
3,northAmerica,5,R,18,condor,5,R5,2674
4,cali,1,R,29,kelp forest,3,R3,1674
4,cali,2,L,"33, 38, 46, 79, 99, 139",sea otter,3,R3,1674
4,cali,3,R,41,California sea lion,3,R3,1674
