id,facility,animal,specific,link,donate,fact,learn,adopt,conservation,conservation-link
14,San Diego Zoo,African elephant,,https://www.sdzsafaripark.org/elephant-cam,https://www.endextinction.org/,"The low, resounding calls elephants make can be heard by another elephant up to 5 miles (8 kilometers) away.",https://animals.sandiegozoo.org/animals/elephant,https://www.endextinction.org/,vulnerable,https://www.iucnredlist.org/species/12392/3339343
100,California Academy of Sciences,African penguin,,https://www.calacademy.org/learn-explore/animal-webcams/live-penguin-cams,https://give.calacademy.org/relieffund,"Each bird in the exhibit wears a colorful wing band, which helps Academy staff and visitors quickly distinguish one bird from another. Males are banded on the right, females on the left. ",https://www.calacademy.org/learn-explore/animal-webcams/live-penguin-cams,,endangered,https://www.iucnredlist.org/species/22697810/132604504
39,Georgia Aquarium,African penguin,,https://www.georgiaaquarium.org/webcam/african-penguin-cam/,https://www.georgiaaquarium.org/donations/,"African penguins molt once a year. During this time, they lose all of their feathers and grow a new set",https://www.georgiaaquarium.org/animal/african-penguin/,,endangered,https://www.iucnredlist.org/species/22697810/132604504
10,San Diego Zoo,African penguin,,https://zoo.sandiegozoo.org/cams/penguin-cam,https://www.endextinction.org/,"One of its most distinctive features is a small pink gland above each eye, which helps them cope with high temperatures in South Africa.",https://animals.sandiegozoo.org/animals/african-penguin,https://www.endextinction.org/,endangered,https://www.iucnredlist.org/species/22697810/132604504
78,Vancouver Aquarium,African penguin,,https://www.vanaqua.org/visit/live-cams-penguin,https://www.vanaqua.org/support/make-donation,The African penguin (Spheniscus demersus) – it’s the only penguin known to live along the southern coasts of Africa today.,https://www.vanaqua.org/explore/exhibit-penguin-point,http://support.ocean.org/site/PageServer?pagename=AnimalSponsorProgram,endangered,https://www.iucnredlist.org/species/22697810/132604504
44,Georgia Aquarium,alligator,American alligator,https://www.georgiaaquarium.org/webcam/gator-crossing/,https://www.georgiaaquarium.org/donations/,"The sex of alligator hatchlings is determined by the temperature of the nest during incubation. Warmer temperatures produce males, while cooler temperatures produce females",https://www.georgiaaquarium.org/animal/american-alligator/,,least concern,https://www.iucnredlist.org/species/46583/3009637
56,Houston Zoo,Asian elephant,,https://www.houstonzoo.org/explore/webcams/elephant-yard-cam/,https://www.houstonzoo.org/emergency-zoo-fund/,"While African male and female elephants both have tusks, Asian female elephants do not.",https://www.houstonzoo.org/explore/animals/elephant-asian/,,endangered,https://www.iucnredlist.org/species/7140/12828813
24,National Zoo,Asian elephant,,https://nationalzoo.si.edu/webcams/elephants,https://nationalzoo.si.edu/support/national-zoo-emergency-fund,"Research on wild endangered Asian elephants is difficult and sparse, and zoo elephants are valuable sources of knowledge.",https://nationalzoo.si.edu/animals/asian-elephant,https://nationalzoo.si.edu/support/adopt,endangered,https://www.iucnredlist.org/species/7140/12828813
98,Oregon Coast Aquariuim,puffin,,https://aquarium.org/seabird-cam/,https://aquarium.org/support/,"The species exhibited in the Seabird Aviary are Tufted Puffins, Horned Puffins, Rhinoceros Auklets, Pigeon Guillemots, Common Murres and Black Oystercatchers. ",https://aquarium.org/exhibits/seabird-aviary-exhibit/,https://aquarium.org/support/animal-adoptions/,,
9,San Diego Zoo,baboon,Hamadryas baboon and Gelada monkeys,https://zoo.sandiegozoo.org/cams/baboon-cam,https://www.endextinction.org/,"You can tell the two species apart by their distinctive features: Hamadryas are tan-haired with red faces and rears, while Geladas have dark colored faces with light eyelids and a red hourglass-shaped patch of skin on their chests.",https://zoo.sandiegozoo.org/africa-rocks,https://www.endextinction.org/,least concern,https://www.iucnredlist.org/species/16019/17953082
